Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,112972,106992,122071,76464,60961,122071,60961,60961,60961
Partitions scanned,,2,122071,112930,60945,122071,76086,60945,122071,60945,60945,60945
Partitions scanned,,3,122071,116141,61187,122071,91713,61187,122071,61187,61187,61187
Partitions scanned,,4,122071,114842,106895,122071,76930,60602,122071,60602,60602,60602
Partitions scanned,,5,122071,113011,91460,122071,76212,60683,122071,60683,60683,60683
Partitions scanned,,6,122071,115851,60977,122071,91384,60977,122071,60977,60977,60977
Partitions scanned,,7,122071,116229,106707,122071,91438,91202,122071,60765,60765,60765
Partitions scanned,,8,122071,114579,91627,122071,76411,61202,122071,61202,61202,61202
Partitions scanned,,9,122071,112960,60886,122071,76322,60886,122071,60886,60886,60886
Partitions scanned,,10,122071,114514,91726,122071,76261,61003,122071,61003,61003,61003
Partitions scanned,,11,122071,116229,106707,122071,91438,91202,122071,60765,60765,60765
Partitions scanned,,12,122071,113058,61310,122071,76491,61310,122071,61310,61310,61310
Partitions scanned,,13,122071,114197,60679,122071,75925,60679,122071,60679,60679,60679
Partitions scanned,,14,122071,114405,61262,122071,76594,61262,122071,61262,61262,61262
Partitions scanned,,15,122071,115692,91665,122071,90550,91665,122071,61219,61219,61219
Partitions scanned,,16,122071,115803,91449,122071,90843,60865,122071,60865,60865,60865
Partitions scanned,,17,122071,116026,91952,122071,91743,61147,122071,61147,61147,61147
Partitions scanned,,18,122071,113724,91441,122071,75992,60625,122071,60625,60625,60625
Partitions scanned,,19,122071,115031,106658,122071,78691,60770,122071,60770,60770,60770
Partitions scanned,,20,122071,115129,61241,122071,80956,61241,122071,61241,61241,61241
Partitions scanned,,21,122071,115266,106939,122071,83605,91682,122071,61149,91682,61149
Partitions scanned,,22,122071,115913,91569,122071,91510,61106,122071,61106,61106,61106
Partitions scanned,,23,122071,115287,120222,122071,82257,61319,122071,61319,61319,61319
Partitions scanned,,24,122071,114919,61242,122071,77354,61242,122071,61242,61242,61242
Partitions scanned,,25,122071,114579,91627,122071,76411,61202,122071,61202,61202,61202
Partitions scanned,,26,122071,113605,61220,122071,76603,61220,122071,61220,61220,61220
Partitions scanned,,27,122071,115590,61174,122071,88926,61174,122071,61174,61174,61174
Partitions scanned,,28,122071,113162,91550,122071,76131,60854,122071,60854,60854,60854
Partitions scanned,,29,122071,115692,91665,122071,90550,91665,122071,61219,61219,61219
Partitions scanned,,30,122071,115278,60964,122071,82597,60964,122071,60964,60964,60964
Partitions scanned,,31,122071,114648,61193,122071,76563,61193,122071,61193,61193,61193
Partitions scanned,,32,122070,112350,107026,122070,76254,60961,122070,60961,60961,60961
Partitions scanned,,33,122071,114542,106764,122071,76512,61065,122071,61065,61065,61065
Partitions scanned,,34,122071,115895,61142,122071,91733,61142,122071,61142,61142,61142
Partitions scanned,,35,122071,116317,91577,122071,91742,61267,122071,61267,61267,61267
Partitions scanned,,36,122071,115459,106829,122071,87408,61033,122071,61033,61033,61033
Partitions scanned,,37,122071,115348,91647,122071,84563,61370,122071,61370,61370,61370
Partitions scanned,,38,122071,115568,61163,122071,89159,61163,122071,61163,61163,61163
Partitions scanned,,39,122071,113972,60788,122071,76213,60788,122071,60788,60788,60788
Partitions scanned,,40,122071,114586,91741,122071,76774,61315,122071,61315,61315,61315
Partitions scanned,,41,122071,115337,60973,122071,84387,60973,122071,60973,60973,60973
Partitions scanned,,42,122071,116065,91580,122071,91611,60956,122071,60956,60956,60956
Partitions scanned,,43,122069,116166,106724,122069,91177,60714,122069,60714,60714,60714
Partitions scanned,,44,122071,113440,91631,122071,76396,61054,122071,61054,61054,61054
Partitions scanned,,45,122071,113684,106988,122071,76313,60779,122071,60779,60779,60779
Partitions scanned,,46,122071,116036,91657,122071,91611,61043,122071,61043,61043,61043
Partitions scanned,,47,122071,115000,114576,122071,78716,60810,122071,60810,60810,60810
Partitions scanned,,48,122071,114099,60831,122071,76317,60831,122071,60831,60831,60831
Partitions scanned,,49,122025,116214,61002,122025,91702,61002,122025,61002,61002,61002
Partitions scanned,,50,122071,114598,91595,122071,76444,60813,122071,60813,60813,60813
Partitions scanned,,51,122071,112844,91648,122071,76155,60848,122071,60848,60848,60848
Partitions scanned,,52,122071,113978,91571,122071,76266,60989,122071,60989,60989,60989
Partitions scanned,,53,122071,113439,61213,122071,76519,61213,122071,61213,61213,61213
Partitions scanned,,54,122071,114679,91543,122071,76724,60968,122071,60968,60968,60968
Partitions scanned,,55,122071,116195,60976,122071,91428,60976,122071,60976,60976,60976
Partitions scanned,,56,122071,115459,60981,122071,86845,60981,122071,60981,60981,60981
Partitions scanned,,57,122071,115889,61057,122071,91566,61057,122071,61057,61057,61057
Partitions scanned,,58,122071,115067,107093,122071,78533,61166,122071,61166,61166,61166
Partitions scanned,,59,122071,115536,61162,122071,87991,61162,122071,61162,61162,61162
Partitions scanned,,60,122071,116010,91715,122071,91590,61162,122071,61162,61162,61162
Partitions scanned,,61,122071,115599,61103,122071,90212,61103,122071,61103,61103,61103
Partitions scanned,,62,122071,116010,91715,122071,91590,61162,122071,61162,61162,61162
Partitions scanned,,63,122071,114926,91825,122071,77993,61100,122071,61100,61100,61100
Partitions scanned,,64,122071,112738,91684,122071,76202,61152,122071,61152,61152,61152
Partitions scanned,,65,122071,116244,91452,122071,91657,60897,122071,60897,60897,60897
