Query,min_max_time,cluster_time,bloom_time
1,0.14,0.14,0.142
2,0.045,0.046,0.045
3,0.094,0.093,0.092
4,0.08,0.081,0.083
5,0.085,0.086,0.087
6,0.182,0.183,0.183
7,0.196,0.193,0.188
8,0.176,0.14,0.157
9,0.325,0.324,0.326
10,0.15,0.153,0.11
11,0.028,0.028,0.028
12,0.138,0.139,0.14
13,0.199,0.208,0.209
14,0.078,0.077,0.078
15,0.067,0.068,0.068
16,0.06,0.06,0.062
17,0.203,0.201,0.195
18,0.17,0.174,0.173
19,0.146,0.112,0.15
20,0.205,0.204,0.203
21,0.3,0.3,0.222
22,0.046,0.047,0.048
