Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.69,52.68,52.68
2,6.88,6.88,6.88
3,37.95,37.88,37.63
4,28.19,28.2,28.21
5,36.06,36.09,36.05
6,30.11,30.1,30.11
7,41.97,41.88,41.87
8,44.79,43.93,44.18
9,52.34,52.35,52.25
10,36.99,36.74,15.77
11,6.88,6.88,6.88
12,41.35,41.29,41.3
13,5.85,5.85,5.85
14,30.59,30.59,30.53
15,30.1,30.1,30.1
16,2.95,2.95,2.95
17,38.26,38.12,37.63
18,38.11,38.07,37.83
19,46.14,10.13,46.08
20,33.53,33.55,33.54
21,78.97,78.68,75.88
22,2.95,2.93,2.91
