Query,min_max_time,cluster_time,bloom_time
1,0.153,0.147,0.146
2,0.046,0.047,0.046
3,0.094,0.094,0.095
4,0.083,0.083,0.084
5,0.088,0.089,0.091
6,0.187,0.187,0.187
7,0.194,0.201,0.193
8,0.203,0.181,0.23
9,0.324,0.329,0.328
10,0.155,0.158,0.158
11,0.029,0.028,0.029
12,0.141,0.142,0.143
13,0.205,0.215,0.216
14,0.08,0.079,0.079
15,0.07,0.07,0.07
16,0.06,0.062,0.063
17,0.209,0.21,0.21
18,0.178,0.184,0.186
19,0.152,0.118,0.155
20,0.211,0.212,0.211
21,0.312,0.276,0.312
22,0.047,0.048,0.048
