Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.71,52.72,52.7
2,6.88,6.88,6.88
3,37.9,37.89,37.9
4,28.19,28.19,28.19
5,36.0,35.99,36.08
6,30.11,30.11,30.11
7,41.88,41.79,41.85
8,44.84,44.59,44.71
9,52.27,50.74,52.4
10,36.93,36.72,36.78
11,6.88,6.88,6.88
12,41.29,41.29,41.3
13,5.85,5.85,5.85
14,30.6,30.6,30.59
15,30.11,30.11,30.1
16,2.95,2.95,2.95
17,38.33,38.12,37.89
18,37.91,33.62,38.25
19,46.15,10.41,46.09
20,33.55,33.54,33.54
21,79.32,79.05,79.04
22,2.94,2.92,2.95
