Query,min_max_time,cluster_time,bloom_time
1,0.146,0.15,0.151
2,0.047,0.048,0.048
3,0.099,0.101,0.101
4,0.083,0.085,0.085
5,0.091,0.094,0.094
6,0.237,0.238,0.238
7,0.229,0.23,0.234
8,0.227,0.247,0.204
9,0.328,0.333,0.332
10,0.159,0.163,0.164
11,0.03,0.03,0.031
12,0.16,0.16,0.162
13,0.209,0.216,0.216
14,0.088,0.088,0.088
15,0.078,0.078,0.08
16,0.06,0.062,0.061
17,0.266,0.266,0.266
18,0.184,0.186,0.183
19,0.187,0.149,0.189
20,0.233,0.233,0.235
21,0.342,0.34,0.339
22,0.047,0.048,0.049
