Name,Unit,Table_name,Min/max,Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,hits,266579040,1184525236,2317187040,513927714,6020234576,20772659040,1031547854
Max Size,B,hits,208,8256,1808,2592,80256,16208,21872
