Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x)
Time,s,1,0.00407,0.0039,0.00408,0.00617,0.00433,0.00375,0.0049
Time,s,1,0.00421,0.00365,0.00417,0.00704,0.00393,0.00352,0.00551
Time,s,1,0.00509,0.00375,0.00394,0.00624,0.00395,0.00388,0.00549
Time,s,1,0.00493,0.00382,0.00408,0.00596,0.00401,0.00353,0.00671
Time,s,1,0.01316,0.00386,0.00392,0.00633,0.00442,0.00353,0.00583
Time,s,1,0.00614,0.0041,0.00401,0.00618,0.00448,0.0037,0.0059
Time,s,1,0.00568,0.00397,0.00392,0.01352,0.00407,0.00377,0.00519
Time,s,1,0.00504,0.00367,0.00412,0.00762,0.00395,0.0038,0.0059
Time,s,1,0.00486,0.00375,0.00395,0.00576,0.01106,0.00374,0.00578
Time,s,1,0.00497,0.00371,0.00417,0.00561,0.00746,0.00351,0.00553
Time,s,1,0.00459,0.00431,0.00394,0.00588,0.00603,0.00354,0.00644
Time,s,1,0.0047,0.00435,0.00424,0.00581,0.00601,0.00366,0.007
Time,s,1,0.00477,0.00404,0.00404,0.00583,0.00635,0.00354,0.00535
Time,s,1,0.00495,0.0039,0.00386,0.00576,0.01448,0.0037,0.00582
Time,s,1,0.0049,0.00411,0.00396,0.00582,0.00701,0.0035,0.00517
Time,s,1,0.00461,0.00416,0.00403,0.00583,0.00612,0.00365,0.00471
Time,s,1,0.00597,0.00403,0.00376,0.00607,0.00596,0.0036,0.00461
Time,s,1,0.00517,0.00414,0.00385,0.00597,0.00564,0.00371,0.0044
Time,s,1,0.00504,0.00395,0.00398,0.006,0.00504,0.00363,0.00506
Time,s,1,0.00518,0.00411,0.00384,0.00612,0.00708,0.0035,0.00577
Time,s,1,0.00517,0.00398,0.00396,0.00572,0.00568,0.00371,0.01289
Time,s,1,0.00488,0.004,0.00386,0.00624,0.00577,0.01121,0.00573
Time,s,1,0.00461,0.0042,0.00386,0.00642,0.00663,0.0056,0.00461
Time,s,1,0.00431,0.00389,0.00407,0.00602,0.00675,0.00523,0.00455
Time,s,1,0.00429,0.00422,0.0039,0.00594,0.00615,0.00519,0.00463
Time,s,1,0.00445,0.00414,0.00376,0.00595,0.00559,0.00524,0.00463
