Name,Unit,Table_name,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,sensor_records,50781120,101562240,89843520,68359200,355467840,441405120,172851120,2113275840,3957021120,172851120
Max Size,B,sensor_records,208,416,368,280,1856,1808,1136,16256,16208,1136
