Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,949,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,950,122071,83827,61226,122071,61226,61226,61226,61226,61226,61226
Partitions scanned,,951,122071,87122,61053,122071,61053,61053,61053,61053,61053,61053
Partitions scanned,,952,122071,82779,91745,122071,60921,60921,60921,60921,60921,60921
Partitions scanned,,953,122071,91031,91895,122071,61071,61071,61071,61071,61071,61071
Partitions scanned,,954,122071,86100,61073,122071,61073,61073,61073,61073,61073,61073
Partitions scanned,,955,122071,78130,60963,122071,60963,60963,60963,60963,60963,60963
Partitions scanned,,956,122071,90770,91745,122071,61209,61209,61209,61209,61209,61209
Partitions scanned,,957,122071,89230,60989,122071,60989,60989,60989,60989,60989,60989
Partitions scanned,,958,122071,90197,61375,122071,61375,61375,61375,61375,61375,61375
Partitions scanned,,959,122012,91410,61188,122012,61188,61188,61188,61188,61188,61188
Partitions scanned,,960,122071,86100,61073,122071,61073,61073,61073,61073,61073,61073
Partitions scanned,,961,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,962,122071,80442,60810,122071,60810,60810,60810,60810,60810,60810
Partitions scanned,,963,122071,90042,60825,122071,60825,60825,60825,60825,60825,60825
Partitions scanned,,964,122071,87928,91646,122071,61066,61066,61066,61066,61066,61066
Partitions scanned,,965,122071,83343,61082,122071,61082,61082,61082,61082,61082,61082
Partitions scanned,,966,122047,91287,61226,122047,61226,61226,61226,61226,61226,61226
Partitions scanned,,967,122039,76798,61006,122039,61006,61006,61006,61006,61006,61006
Partitions scanned,,968,122071,89230,60989,122071,60989,60989,60989,60989,60989,60989
Partitions scanned,,969,122071,90559,91912,122071,60828,60828,60828,60828,60828,60828
Partitions scanned,,970,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,971,122071,88491,91895,122071,60920,60920,60920,60920,60920,60920
Partitions scanned,,972,107520,76449,84447,107520,61180,61180,61180,61180,61180,61180
Partitions scanned,,973,122071,82407,60773,122071,60773,60773,60773,60773,60773,60773
Partitions scanned,,974,122071,86854,60915,122071,60915,60915,60915,60915,60915,60915
Partitions scanned,,975,122071,78298,61287,122071,61287,61287,61287,61287,61287,61287
Partitions scanned,,976,122071,89749,61144,122071,61144,61144,61144,61144,61144,61144
Partitions scanned,,977,122071,90214,91902,122071,61404,61404,61404,61404,61404,61404
