Query,min_max_time,cluster_time,bloom_time
1,0.156,0.156,0.156
2,0.049,0.053,0.052
3,0.097,0.098,0.1
4,0.087,0.089,0.089
5,0.092,0.095,0.093
6,0.194,0.194,0.196
7,0.198,0.2,0.21
8,0.185,0.162,0.161
9,0.368,0.38,0.356
10,0.166,0.171,0.172
11,0.03,0.031,0.031
12,0.145,0.147,0.148
13,0.225,0.231,0.231
14,0.084,0.084,0.085
15,0.072,0.073,0.074
16,0.067,0.07,0.069
17,0.218,0.218,0.218
18,0.191,0.191,0.192
19,0.155,0.158,0.158
20,0.218,0.22,0.22
21,0.328,0.331,0.334
22,0.05,0.051,0.051
