Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.69,52.68,52.68
2,6.88,6.88,6.88
3,37.89,37.87,37.92
4,28.19,28.2,28.19
5,36.04,36.03,36.02
6,30.11,30.1,30.11
7,41.86,41.87,42.1
8,44.72,44.25,44.44
9,52.26,52.45,52.57
10,37.0,36.91,36.93
11,6.88,6.88,6.88
12,41.29,41.3,41.29
13,5.85,5.85,5.85
14,30.59,30.6,30.6
15,30.11,30.1,30.1
16,2.95,2.95,2.95
17,38.34,38.13,38.22
18,37.98,38.14,38.0
19,46.14,46.14,46.14
20,33.54,33.54,33.53
21,78.94,78.91,78.89
22,2.91,2.91,2.93
