Query,min_max_time,cluster_time,bloom_time
1,0.034,0.04,0.036
2,0.019,0.022,0.02
3,0.036,0.034,0.037
4,0.033,0.035,0.035
5,0.032,0.033,0.034
6,0.033,0.034,0.034
7,0.056,0.056,0.057
8,0.043,0.043,0.044
9,0.075,0.077,0.077
10,0.062,0.063,0.063
11,0.011,0.012,0.012
12,0.039,0.041,0.041
13,0.062,0.062,0.063
14,0.029,0.031,0.029
15,0.018,0.019,0.019
16,0.03,0.032,0.031
17,0.049,0.05,0.051
18,0.069,0.071,0.071
19,0.069,0.07,0.071
20,0.055,0.058,0.056
21,0.123,0.125,0.126
22,0.023,0.022,0.023
