Query,min_max_time,cluster_time,bloom_time
1,0.035,0.042,0.038
2,0.021,0.025,0.022
3,0.037,0.036,0.038
4,0.035,0.037,0.037
5,0.034,0.035,0.036
6,0.035,0.036,0.036
7,0.058,0.058,0.059
8,0.045,0.045,0.047
9,0.077,0.079,0.079
10,0.064,0.065,0.065
11,0.013,0.014,0.014
12,0.042,0.044,0.044
13,0.063,0.063,0.065
14,0.03,0.032,0.031
15,0.02,0.021,0.021
16,0.032,0.033,0.033
17,0.051,0.051,0.052
18,0.07,0.073,0.072
19,0.071,0.072,0.073
20,0.056,0.06,0.058
21,0.125,0.128,0.128
22,0.024,0.024,0.025
