Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.7,52.7,52.7
2,6.88,6.99,6.88
3,37.9,37.89,37.9
4,28.19,28.18,28.19
5,36.06,36.07,36.07
6,30.11,30.1,30.11
7,41.96,41.99,41.9
8,45.2,44.42,44.85
9,52.35,50.46,52.37
10,36.93,36.86,36.91
11,6.88,6.88,6.88
12,41.28,41.29,41.3
13,5.85,5.85,5.73
14,30.59,30.59,29.63
15,30.1,30.1,30.11
16,2.95,2.95,2.95
17,38.13,38.17,38.26
18,38.06,34.84,37.98
19,46.14,10.41,46.14
20,33.54,33.48,33.54
21,79.38,78.79,78.8
22,2.95,2.95,2.95
