Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Time,s,75,0.14633,0.1371,0.09189,0.15923,0.10905,0.06854,0.13475
Time,s,76,0.15618,0.14384,0.08276,0.16032,0.11558,0.07202,0.14983
Time,s,77,0.14647,0.13328,0.08649,0.15865,0.11561,0.07618,0.15283
Time,s,78,0.13353,0.12995,0.10039,0.14019,0.10528,0.07545,0.16726
Time,s,79,0.13692,0.15034,0.09362,0.14151,0.1006,0.07205,0.15399
Time,s,80,0.13025,0.16147,0.09737,0.14799,0.11083,0.07613,0.13166
Time,s,81,0.13447,0.1536,0.10477,0.14356,0.11045,0.07282,0.1315
Time,s,82,0.13537,0.15117,0.09313,0.13009,0.10643,0.07048,0.13162
Time,s,83,0.12666,0.13314,0.09671,0.14075,0.11759,0.07288,0.13528
Time,s,84,0.13299,0.13229,0.09443,0.15298,0.11119,0.06827,0.13919
Time,s,85,0.13739,0.13436,0.08985,0.13827,0.12136,0.06504,0.14782
Time,s,86,0.12658,0.13714,0.08291,0.12763,0.10885,0.06882,0.14231
Time,s,87,0.14665,0.14332,0.0855,0.13207,0.11149,0.06558,0.13834
Time,s,88,0.14969,0.13094,0.08761,0.13131,0.11423,0.06767,0.14134
Time,s,89,0.15234,0.13688,0.08485,0.15228,0.1127,0.06852,0.13701
Time,s,90,0.14713,0.12992,0.08213,0.15065,0.10209,0.06629,0.13942
Time,s,91,0.15049,0.151,0.09884,0.14761,0.12482,0.06587,0.15658
Time,s,92,0.14893,0.13528,0.09466,0.14811,0.11739,0.0755,0.14961
Time,s,93,0.15172,0.13363,0.08751,0.13587,0.11323,0.08517,0.15632
Time,s,94,0.1356,0.1382,0.09671,0.13676,0.11581,0.07707,0.14969
Time,s,95,0.13014,0.1605,0.08761,0.13958,0.11177,0.07345,0.13148
Time,s,96,0.13612,0.16022,0.08627,0.1281,0.11864,0.07656,0.14132
Time,s,97,0.13624,0.1623,0.09072,0.13375,0.10861,0.07374,0.13223
Time,s,98,0.12513,0.14018,0.08295,0.13548,0.11287,0.06899,0.13467
Time,s,99,0.13651,0.13419,0.08435,0.13016,0.11604,0.07314,0.14091
Time,s,100,0.13569,0.13429,0.08363,0.14022,0.12142,0.07274,0.14361
Time,s,101,0.13007,0.13429,0.08355,0.12804,0.11185,0.07035,0.14693
Time,s,102,0.14415,0.13616,0.09523,0.12954,0.10954,0.07138,0.13416
Time,s,103,0.14716,0.1359,0.09567,0.12757,0.10888,0.06923,0.12892
Time,s,104,0.14996,0.12919,0.09037,0.13108,0.11037,0.06771,0.13069
Time,s,105,0.15043,0.12828,0.09637,0.16113,0.11695,0.0679,0.12973
Time,s,106,0.15199,0.14451,0.09965,0.15309,0.11329,0.07318,0.15365
Time,s,107,0.15769,0.14106,0.09357,0.15223,0.1111,0.07738,0.1535
Time,s,108,0.14312,0.12871,0.09483,0.1499,0.10648,0.07549,0.16917
Time,s,109,0.1274,0.12978,0.08876,0.13985,0.10793,0.07152,0.15388
Time,s,110,0.1335,0.14235,0.09767,0.13158,0.12498,0.07054,0.13128
Time,s,111,0.12951,0.15307,0.10254,0.14179,0.11836,0.06989,0.1312
Time,s,112,0.1264,0.1503,0.1028,0.13407,0.11317,0.07675,0.13332
Time,s,113,0.1269,0.14882,0.09326,0.13021,0.1131,0.07026,0.13713
Time,s,114,0.13334,0.13703,0.0915,0.1338,0.11836,0.06739,0.13686
Time,s,115,0.13083,0.12585,0.09419,0.14084,0.11264,0.07099,0.1302
Time,s,116,0.12978,0.12798,0.08919,0.13521,0.1054,0.06753,0.15195
Time,s,117,0.12969,0.13671,0.08631,0.13293,0.11319,0.07115,0.13228
Time,s,118,0.14819,0.136,0.09357,0.13579,0.14856,0.07703,0.13223
Time,s,119,0.14975,0.13555,0.08837,0.13213,0.12917,0.06616,0.13635
Time,s,120,0.15896,0.12759,0.08754,0.15288,0.12581,0.06213,0.13593
Time,s,121,0.15168,0.12633,0.08511,0.15155,0.11548,0.07195,0.14571
Time,s,122,0.1533,0.13225,0.08753,0.15076,0.11519,0.07865,0.15308
Time,s,123,0.15067,0.14169,0.09013,0.15321,0.11535,0.07281,0.16216
Time,s,124,0.13849,0.12644,0.08988,0.14461,0.11056,0.07647,0.15812
Time,s,125,0.15085,0.12808,0.09877,0.12983,0.10661,0.07555,0.14951
Time,s,126,0.14935,0.14817,0.10136,0.12898,0.11513,0.0736,0.12955
Time,s,127,0.1603,0.15036,0.0941,0.13401,0.10985,0.07398,0.13163
Time,s,128,0.1369,0.15145,0.09921,0.13275,0.13105,0.06996,0.13756
Time,s,129,0.15312,0.15663,0.10085,0.13111,0.12083,0.07021,0.13446
Time,s,130,0.16106,0.149,0.10337,0.136,0.1207,0.07166,0.13022
Time,s,131,0.15235,0.15973,0.09811,0.14398,0.11169,0.06742,0.15714
Time,s,132,0.16661,0.17842,0.08699,0.13196,0.10626,0.07098,0.13383
Time,s,133,0.17353,0.18456,0.08531,0.12954,0.12868,0.07146,0.1369
Time,s,134,0.17231,0.1816,0.08956,0.12826,0.13891,0.0713,0.12975
Time,s,135,0.16442,0.17553,0.08337,0.14027,0.13647,0.07626,0.13098
Time,s,136,0.1632,0.19084,0.09043,0.15589,0.13758,0.07969,0.14759
Time,s,137,0.15688,0.14461,0.08853,0.15161,0.14352,0.08439,0.15647
Time,s,138,0.15089,0.14767,0.09562,0.1528,0.1323,0.07647,0.16754
Time,s,139,0.1501,0.15981,0.09002,0.1502,0.14795,0.07417,0.18272
Time,s,140,0.16402,0.14526,0.09141,0.13631,0.13624,0.08379,0.14701
Time,s,141,0.14827,0.14583,0.09406,0.13381,0.13748,0.06962,0.15965
Time,s,142,0.15621,0.14671,0.09208,0.13489,0.13202,0.06815,0.1629
Time,s,143,0.15922,0.14899,0.0867,0.13588,0.10582,0.07284,0.15231
Time,s,144,0.15302,0.15537,0.09021,0.13437,0.11931,0.06744,0.14729
Time,s,145,0.14357,0.16072,0.08412,0.12938,0.12471,0.06482,0.17061
Time,s,146,0.16666,0.15756,0.08646,0.142,0.1246,0.06993,0.1477
Time,s,147,0.16542,0.15672,0.08447,0.13726,0.12437,0.06758,0.14279
Time,s,148,0.15194,0.14956,0.10179,0.12718,0.12566,0.06806,0.14013
Time,s,149,0.15655,0.13842,0.10293,0.12924,0.11678,0.07531,0.13488
Time,s,150,0.15048,0.13164,0.10114,0.13207,0.1177,0.06697,0.15343
Time,s,151,0.15603,0.14752,0.09812,0.16063,0.11348,0.07539,0.15731
Time,s,152,0.14378,0.13283,0.09958,0.15766,0.10914,0.07573,0.1654
Time,s,153,0.15512,0.13211,0.10365,0.15835,0.1148,0.0699,0.15136
Time,s,154,0.15604,0.15161,0.09311,0.15049,0.10749,0.06935,0.1518
Time,s,155,0.15815,0.15351,0.08667,0.13199,0.11391,0.06978,0.14845
Time,s,156,0.15111,0.15569,0.08542,0.12941,0.1082,0.06833,0.13163
Time,s,157,0.15487,0.15805,0.08837,0.13732,0.11835,0.06899,0.1321
Time,s,158,0.14015,0.15095,0.08617,0.13171,0.10967,0.06637,0.12875
Time,s,159,0.12767,0.14472,0.08315,0.13122,0.11652,0.07165,0.1297
Time,s,160,0.13012,0.12896,0.08319,0.13625,0.10805,0.06895,0.15435
Time,s,161,0.14138,0.14054,0.0886,0.13249,0.11773,0.06723,0.13882
Time,s,162,0.14389,0.13414,0.09105,0.13822,0.11485,0.07199,0.1317
Time,s,163,0.12569,0.12857,0.08976,0.13217,0.11919,0.07335,0.1376
Time,s,164,0.13689,0.13725,0.0841,0.13634,0.12518,0.07069,0.1372
Time,s,165,0.13449,0.13096,0.096,0.15428,0.12788,0.06593,0.1507
Time,s,166,0.13841,0.14144,0.09214,0.17716,0.11863,0.07575,0.15741
Time,s,167,0.13185,0.13614,0.08931,0.17534,0.12868,0.07357,0.15959
Time,s,168,0.14628,0.12739,0.0831,0.17942,0.10768,0.07516,0.15323
Time,s,169,0.15542,0.15804,0.0848,0.17312,0.11108,0.07637,0.15325
Time,s,170,0.15193,0.15247,0.08556,0.15458,0.11656,0.07002,0.14373
Time,s,171,0.15158,0.15121,0.0849,0.13223,0.10678,0.06861,0.13102
Time,s,172,0.16698,0.15522,0.10074,0.13294,0.10224,0.07823,0.13235
Time,s,173,0.16108,0.15409,0.09693,0.13669,0.10653,0.06915,0.13678
Time,s,174,0.14779,0.15371,0.09752,0.12806,0.11661,0.06928,0.12983
Time,s,175,0.14117,0.1292,0.09436,0.13335,0.11395,0.07803,0.15103
Time,s,176,0.12878,0.13772,0.09933,0.1423,0.11384,0.06847,0.13808
Time,s,177,0.1476,0.13453,0.10187,0.14418,0.11371,0.0716,0.13001
Time,s,178,0.13075,0.12827,0.09766,0.13685,0.11159,0.07179,0.13063
Time,s,179,0.1332,0.1328,0.09271,0.12933,0.10733,0.06972,0.14014
Time,s,180,0.12986,0.13201,0.0896,0.13636,0.10313,0.07105,0.15015
Time,s,181,0.13119,0.14136,0.08608,0.15415,0.11655,0.08264,0.15551
Time,s,182,0.12832,0.13502,0.08436,0.15153,0.1361,0.07796,0.16233
Time,s,183,0.14732,0.12744,0.09259,0.15357,0.1262,0.07584,0.16018
Time,s,184,0.15561,0.16405,0.0863,0.14917,0.12526,0.07751,0.14405
Time,s,185,0.1608,0.15421,0.0986,0.15676,0.1245,0.0802,0.13244
Time,s,186,0.15334,0.15106,0.09432,0.13844,0.11681,0.06943,0.13788
Time,s,187,0.14926,0.14857,0.08906,0.13928,0.11293,0.07595,0.13411
Time,s,188,0.14975,0.14869,0.0909,0.13383,0.11824,0.07326,0.13189
Time,s,189,0.15471,0.15815,0.08682,0.13339,0.12434,0.07191,0.12833
Time,s,190,0.13777,0.13618,0.08543,0.12848,0.11369,0.07295,0.1432
Time,s,191,0.12778,0.13464,0.08684,0.12956,0.11174,0.06969,0.13434
Time,s,192,0.13902,0.13214,0.09693,0.14122,0.12201,0.06977,0.12807
Time,s,193,0.14424,0.12904,0.09487,0.13183,0.1128,0.0683,0.12982
Time,s,194,0.13179,0.13534,0.08445,0.13814,0.10245,0.07694,0.1384
Time,s,195,0.12962,0.14075,0.10045,0.13341,0.118,0.08351,0.14992
Time,s,196,0.13836,0.13883,0.0969,0.15188,0.10821,0.08388,0.15676
Time,s,197,0.12778,0.13833,0.10049,0.15084,0.1188,0.08404,0.15665
Time,s,198,0.14663,0.13189,0.1006,0.15955,0.11386,0.07895,0.15574
Time,s,199,0.14957,0.15573,0.09419,0.15037,0.10442,0.07713,0.15329
Time,s,200,0.14823,0.14982,0.09816,0.15265,0.11746,0.07407,0.13278
Time,s,201,0.15217,0.15599,0.09047,0.14599,0.13279,0.07028,0.13256
Time,s,202,0.15975,0.15386,0.09406,0.13925,0.14207,0.07107,0.13612
Time,s,203,0.15426,0.14514,0.08236,0.13269,0.11968,0.07315,0.12974
Time,s,204,0.13817,0.14588,0.08308,0.13184,0.10369,0.07519,0.12807
Time,s,205,0.13145,0.12753,0.08968,0.13305,0.1133,0.07893,0.14159
Time,s,206,0.12821,0.14005,0.08951,0.14324,0.11798,0.07883,0.14296
Time,s,207,0.1319,0.13312,0.09188,0.1429,0.12103,0.07615,0.12858
Time,s,208,0.13858,0.13635,0.09334,0.13161,0.11302,0.07266,0.13075
Time,s,209,0.14619,0.12789,0.09648,0.13588,0.11585,0.07888,0.14915
