Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,120778,116625,122071,112578,49168,122071,75283,49168,122071
Partitions scanned,,2,122071,120780,121672,122071,112681,96275,122071,75499,49375,122071
Partitions scanned,,3,122071,120854,116561,122071,113907,49156,122071,75146,49156,122071
Partitions scanned,,4,122071,120682,112779,122071,111422,78545,122071,75136,49166,122071
Partitions scanned,,5,122071,120501,120894,122071,110757,78421,122071,62388,48815,122071
Partitions scanned,,6,122071,120707,120873,122071,111086,96137,122071,75331,78567,122071
Partitions scanned,,7,122071,120740,118840,122071,111397,49340,122071,75181,49340,122071
Partitions scanned,,8,122071,120558,120128,122071,110954,49420,122071,75379,49420,122071
Partitions scanned,,9,122071,120626,118734,122071,110936,78474,122071,74996,49179,122071
Partitions scanned,,10,122071,120307,121933,122071,110580,96272,122071,61284,49238,122071
Partitions scanned,,11,122071,120311,120050,122071,110675,96338,122071,61150,49319,122071
Partitions scanned,,12,122071,120783,118810,122071,112803,49352,122071,75255,49352,122071
Partitions scanned,,13,122071,120632,120162,122071,111198,96457,122071,75163,49194,122071
Partitions scanned,,14,122071,120791,120863,122071,112525,49109,122071,75157,49109,122071
Partitions scanned,,15,122071,120636,118815,122071,110859,78979,122071,75461,49637,122071
Partitions scanned,,16,122071,120746,121640,122071,112256,96176,122071,75295,49073,122071
Partitions scanned,,17,122071,120847,118744,122071,113727,48943,122071,74905,48943,122071
Partitions scanned,,18,122071,120630,120898,122071,110923,78325,122071,75362,49254,122071
Partitions scanned,,19,122071,120270,122019,122071,110456,78643,122071,60818,49059,122071
Partitions scanned,,20,122071,120612,121660,122071,110896,49089,122071,74907,49089,122071
Partitions scanned,,21,122071,120812,121368,122071,112972,49007,122071,74964,49007,122071
Partitions scanned,,22,122071,120880,121926,122071,113670,78427,122071,75104,49189,122071
Partitions scanned,,23,122071,120795,116503,122071,112165,48649,122071,74971,48649,122071
Partitions scanned,,24,122071,120513,118778,122071,110762,49306,122071,69243,49306,122071
Partitions scanned,,25,122071,120356,78373,122071,110646,49037,122071,60825,49037,122071
Partitions scanned,,26,122071,120508,106683,122071,110811,49357,122071,73058,49357,122071
Partitions scanned,,27,122071,120748,121938,122071,111706,106544,122071,75325,49158,122071
Partitions scanned,,28,122071,120854,116561,122071,113907,49156,122071,75146,49156,122071
Partitions scanned,,29,122071,120769,121417,122071,112850,78390,122071,74940,78390,122071
Partitions scanned,,30,122071,120874,121968,122071,113881,96143,122071,75315,49231,122071
Partitions scanned,,31,122071,120261,112788,122071,110159,96108,122071,60951,49187,122071
Partitions scanned,,32,122071,120446,120859,122071,110635,78315,122071,64723,48964,122071
Partitions scanned,,33,122071,120772,120965,122071,113362,78455,122071,75196,49169,122071
Partitions scanned,,34,122071,120759,121927,122071,113524,78446,122071,75201,49284,122071
Partitions scanned,,35,122071,120677,120036,122071,111437,49339,122071,75068,49339,122071
Partitions scanned,,36,122071,120816,121395,122071,112870,78719,122071,75244,49272,122071
Partitions scanned,,37,122071,120828,118780,122071,112799,78116,122071,74974,49047,122071
Partitions scanned,,38,122071,120861,120872,122071,113642,49145,122071,75140,49145,122071
Partitions scanned,,39,122071,120857,121839,122071,113496,96235,122071,75217,49299,122071
Partitions scanned,,40,122071,120817,112935,122071,113736,49203,122071,75126,49203,122071
Partitions scanned,,41,122071,120511,120897,122071,110744,78642,122071,75094,49237,122071
Partitions scanned,,42,122071,120850,121367,122071,113366,49104,122071,75140,49104,122071
Partitions scanned,,43,122071,120887,120922,122071,113810,49426,122071,75212,49426,122071
Partitions scanned,,44,122071,120802,116504,122071,113065,78599,122071,74773,48992,122071
Partitions scanned,,45,122071,120680,120053,122071,111373,78445,122071,75153,49211,122071
Partitions scanned,,46,122071,120589,121368,122071,110962,49145,122071,75216,49145,122071
Partitions scanned,,47,122071,120827,121599,122071,113229,49321,122071,75446,49321,122071
Partitions scanned,,48,122071,120628,118703,122071,111133,48976,122071,74945,48976,122071
Partitions scanned,,49,122071,120878,121384,122071,114034,78220,122071,74899,48926,122071
Partitions scanned,,50,122071,120889,120077,122071,113834,49301,122071,75564,49301,122071
Partitions scanned,,51,122071,120823,121424,122071,112843,49252,122071,75289,49252,122071
Partitions scanned,,52,122071,120242,116606,122071,110248,49185,122071,61083,49185,122071
Partitions scanned,,53,122071,120883,112895,122071,113923,78763,122071,75473,49449,122071
Partitions scanned,,54,122071,120725,121926,122071,111364,78573,122071,75152,78573,122071
Partitions scanned,,55,122071,120648,121824,122071,111160,49194,122071,75281,49194,122071
Partitions scanned,,56,122071,120421,120965,122071,110840,78609,122071,61420,49327,122071
Partitions scanned,,57,122071,120264,121396,122071,110367,96044,122071,61059,49268,122071
Partitions scanned,,58,122071,120678,118842,122071,111226,49383,122071,75210,49383,122071
Partitions scanned,,59,122071,120314,120877,122071,110635,49348,122071,61180,49348,122071
Partitions scanned,,60,122071,120509,121659,122071,110802,49019,122071,73206,49019,122071
Partitions scanned,,61,122071,120466,106352,122071,110736,48853,122071,69026,48853,122071
Partitions scanned,,62,122071,120540,118741,122071,110828,49210,122071,74517,49210,122071
Partitions scanned,,63,122071,120360,121801,122071,110731,49321,122071,61011,49321,122071
Partitions scanned,,64,122071,120749,118766,122071,111745,48896,122071,75064,48896,122071
Partitions scanned,,65,122071,120395,106371,122071,110801,106371,122071,60860,48924,122071
Partitions scanned,,66,122071,120710,112955,122071,111820,49146,122071,75041,49146,122071
Partitions scanned,,67,122071,120456,121678,122071,110871,49501,122071,65854,49501,122071
Partitions scanned,,68,122071,120257,120892,122071,110352,49135,122071,60970,49135,122071
Partitions scanned,,69,122071,120306,106743,122071,110570,78826,122071,61295,49311,122071
Partitions scanned,,70,122071,120502,120093,122071,110774,49129,122071,66102,49129,122071
Partitions scanned,,71,122071,120394,112756,122071,110569,96033,122071,63821,48996,122071
Partitions scanned,,72,122071,120574,121962,122071,110888,95797,122071,75169,49085,122071
Partitions scanned,,73,122071,120846,118764,122071,112773,49162,122071,75182,49162,122071
Partitions scanned,,74,122071,120582,121373,122071,110990,78337,122071,75192,49316,122071
Partitions scanned,,75,122071,120823,116482,122071,111957,49291,122071,75500,49291,122071
Partitions scanned,,76,122071,120836,118880,122071,113947,49167,122071,75151,49167,122071
Partitions scanned,,77,122071,120748,120084,122071,111624,106539,122071,75367,78896,122071
Partitions scanned,,78,122071,120795,118725,122071,112015,49161,122071,74892,49161,122071
Partitions scanned,,79,122071,120560,121651,122071,110987,78663,122071,75235,49176,122071
Partitions scanned,,80,122071,120696,118746,122071,111257,49156,122071,75281,49156,122071
Partitions scanned,,81,122071,120721,120897,122071,111585,95963,122071,75348,78422,122071
Partitions scanned,,82,122071,120287,121976,122071,110641,78558,122071,61102,49195,122071
Partitions scanned,,83,122071,120764,121906,122071,111258,106371,122071,75270,49241,122071
Partitions scanned,,84,122071,120883,121413,122071,113674,49251,122071,75081,49251,122071
Partitions scanned,,85,122071,120558,120062,122071,110979,78556,122071,75133,49259,122071
Partitions scanned,,86,122071,120833,106523,122071,112428,49333,122071,75283,49333,122071
Partitions scanned,,87,122071,120918,118608,122071,113926,106238,122071,75190,49166,122071
Partitions scanned,,88,122071,120230,106494,122071,110441,49050,122071,61037,49050,122071
Partitions scanned,,89,122071,120627,112862,122071,110851,48889,122071,74949,48889,122071
Partitions scanned,,90,122071,120589,121796,122071,110899,49235,122071,75060,49235,122071
Partitions scanned,,91,122071,120348,118873,122071,110747,49164,122071,61014,49164,122071
Partitions scanned,,92,122071,120192,120950,122071,110313,49118,122071,60779,49118,122071
Partitions scanned,,93,122071,120362,116584,122071,110574,49025,122071,60920,49025,122071
Partitions scanned,,94,122071,120440,120098,122071,110622,78370,122071,65799,48965,122071
Partitions scanned,,95,122071,120523,121640,122071,110764,96247,122071,72648,49183,122071
Partitions scanned,,96,122071,120439,120154,122071,110814,95930,122071,62341,78438,122071
Partitions scanned,,97,122071,120812,116539,122071,112033,48912,122071,74875,48912,122071
Partitions scanned,,98,122071,120748,120066,122071,112366,49559,122071,75494,49559,122071
Partitions scanned,,99,122071,120417,120033,122071,110614,49358,122071,61079,49358,122071
Partitions scanned,,100,122071,120485,116461,122071,110874,78704,122071,75097,49352,122071
Partitions scanned,,101,122071,120442,112805,122071,110831,49290,122071,65457,49290,122071
Partitions scanned,,102,122071,120489,112904,122071,110756,78784,122071,73203,49558,122071
Partitions scanned,,103,122071,120758,116534,122071,111464,49186,122071,75217,49186,122071
Partitions scanned,,104,122071,120783,121903,122071,112869,78552,122071,75010,49151,122071
Partitions scanned,,105,122071,120788,120075,122071,112486,95929,122071,75199,49077,122071
Partitions scanned,,106,122071,120503,120909,122071,110802,49301,122071,67063,49301,122071
Partitions scanned,,107,122071,120812,120120,122071,112741,96163,122071,75201,49181,122071
Partitions scanned,,108,122071,120357,121330,122071,110414,49030,122071,61000,49030,122071
Partitions scanned,,109,122071,120680,120121,122071,111294,49340,122071,75236,49340,122071
Partitions scanned,,110,122071,120743,121672,122071,111440,48835,122071,74785,48835,122071
Partitions scanned,,111,122071,120391,121803,122071,110571,49104,122071,62021,49104,122071
Partitions scanned,,112,122071,120867,112920,122071,112843,49323,122071,75191,49323,122071
Partitions scanned,,113,122071,120881,121434,122071,114174,49182,122071,75222,49182,122071
Partitions scanned,,114,122071,120583,120082,122071,110898,78572,122071,75062,48977,122071
Partitions scanned,,115,122071,120780,116619,122071,113320,49274,122071,75265,49274,122071
Partitions scanned,,116,122071,120571,118701,122071,110702,49143,122071,75194,49143,122071
Partitions scanned,,117,122071,120779,121621,122071,112339,49209,122071,75146,49209,122071
Partitions scanned,,118,122071,120862,120875,122071,112911,49175,122071,75356,49175,122071
Partitions scanned,,119,122071,120564,121366,122071,110797,96067,122071,75134,49087,122071
Partitions scanned,,120,122071,120465,120894,122071,110750,49255,122071,74197,49255,122071
Partitions scanned,,121,122071,120412,121399,122071,110761,96165,122071,71676,49034,122071
Partitions scanned,,122,122071,120905,121398,122071,113903,95989,122071,75061,49201,122071
Partitions scanned,,123,122071,120524,120134,122071,110790,78369,122071,72673,49104,122071
Partitions scanned,,124,122071,120486,121827,122071,110906,78602,122071,68686,49201,122071
Partitions scanned,,125,122071,120774,121347,122071,112768,49014,122071,74898,49014,122071
Partitions scanned,,126,122071,120584,120053,122071,110804,49299,122071,74888,49299,122071
Partitions scanned,,127,122071,120624,116542,122071,110950,49225,122071,75141,49225,122071
Partitions scanned,,128,122071,120821,118775,122071,113311,78763,122071,75183,49142,122071
Partitions scanned,,129,122071,120692,120091,122071,111520,49242,122071,75103,49242,122071
Partitions scanned,,130,122071,120294,48984,122071,110178,48984,122071,60857,48984,122071
Partitions scanned,,131,122071,120508,112845,122071,110709,78783,122071,73074,49160,122071
Partitions scanned,,132,122071,120470,120887,122071,110777,96263,122071,70594,49207,122071
Partitions scanned,,133,122071,120875,112817,122071,113772,49226,122071,75162,49226,122071
Partitions scanned,,134,122071,120632,121330,122071,111021,49087,122071,75086,49087,122071
Partitions scanned,,135,122071,120459,122035,122071,110928,95983,122071,61703,49321,122071
Partitions scanned,,136,122071,120855,121322,122071,113555,78573,122071,74994,48975,122071
Partitions scanned,,137,122071,120601,112738,122071,110916,48970,122071,75098,48970,122071
Partitions scanned,,138,122071,120539,121689,122071,110864,96430,122071,74536,96430,122071
Partitions scanned,,139,122071,120798,112865,122071,113657,78526,122071,75054,49059,122071
Partitions scanned,,140,122071,120470,112738,122071,110834,49052,122071,73604,49052,122071
Partitions scanned,,141,122071,120753,118777,122071,111506,48934,122071,74903,48934,122071
Partitions scanned,,142,122071,120782,118708,122071,113157,49061,122071,75005,49061,122071
Partitions scanned,,143,122071,120725,120131,122071,111550,96325,122071,75147,49297,122071
Partitions scanned,,144,122071,120343,118793,122071,110373,78669,122071,60991,49153,122071
Partitions scanned,,145,122071,120697,116494,122071,111356,78613,122071,75201,49114,122071
Partitions scanned,,146,122071,120835,121809,122071,113505,78506,122071,74902,48996,122071
Partitions scanned,,147,122071,120434,121672,122071,110890,49415,122071,61280,49415,122071
Partitions scanned,,148,122071,120619,120906,122071,110951,49157,122071,75159,49157,122071
Partitions scanned,,149,122071,120727,118774,122071,111121,78212,122071,75316,49260,122071
Partitions scanned,,150,122071,120277,121658,122071,110424,49327,122071,61063,49327,122071
Partitions scanned,,151,122071,120556,121998,122071,110787,78315,122071,75033,49073,122071
Partitions scanned,,152,122071,120281,121973,122071,110429,95951,122071,60635,48852,122071
Partitions scanned,,153,122071,120720,121994,122071,111438,49103,122071,75001,49103,122071
Partitions scanned,,154,122071,120666,112887,122071,111053,78582,122071,75325,49298,122071
Partitions scanned,,155,122071,120866,121678,122071,113790,48969,122071,74856,48969,122071
Partitions scanned,,156,122071,120784,118806,122071,112976,49305,122071,75216,49305,122071
