Query,min_max_time,cluster_time,bloom_time
1,1.662,0.145,0.154
2,0.117,0.046,0.048
3,0.461,0.094,0.103
4,0.469,0.078,0.088
5,0.481,0.087,0.098
6,0.266,0.228,0.246
7,0.56,0.222,0.238
8,0.776,0.197,0.221
9,2.281,0.315,0.344
10,1.044,0.151,0.166
11,0.082,0.029,0.031
12,0.742,0.152,0.164
13,1.34,0.197,0.212
14,0.257,0.069,0.074
15,0.207,0.075,0.08
16,0.222,0.06,0.063
17,0.595,0.251,0.273
18,1.796,0.083,0.178
19,1.259,0.175,0.19
20,0.418,0.222,0.239
21,1.695,0.32,0.361
22,0.29,0.045,0.05
