Query,min_max_time,cluster_time,bloom_time
1,0.155,0.144,0.145
2,0.053,0.052,0.048
3,0.109,0.103,0.097
4,0.089,0.084,0.083
5,0.098,0.096,0.09
6,0.288,0.267,0.232
7,0.266,0.253,0.223
8,0.216,0.18,0.184
9,0.346,0.329,0.325
10,0.173,0.164,0.159
11,0.034,0.032,0.031
12,0.179,0.171,0.156
13,0.22,0.211,0.205
14,0.1,0.091,0.087
15,0.088,0.087,0.077
16,0.067,0.066,0.063
17,0.318,0.303,0.258
18,0.184,0.179,0.174
19,0.222,0.171,0.18
20,0.253,0.242,0.225
21,0.371,0.358,0.329
22,0.051,0.047,0.048
