Query,min_max_time,cluster_time,bloom_time
1,0.001,0.001,0.001
2,0.002,0.002,0.002
3,0.001,0.001,0.001
4,0.001,0.001,0.001
5,0.002,0.002,0.002
6,0.001,0.002,0.002
7,0.002,0.002,0.002
8,0.002,0.002,0.002
9,0.002,0.002,0.002
10,0.002,0.002,0.002
11,0.001,0.001,0.002
12,0.001,0.002,0.002
13,0.032,0.007,0.008
14,0.086,0.016,0.016
15,0.001,0.002,0.002
16,0.001,0.001,0.001
17,0.001,0.001,0.001
18,0.027,0.091,0.098
19,0.001,0.002,0.002
20,0.001,0.002,0.002
21,0.002,0.002,0.002
22,0.001,0.002,0.002
