Type,parameter,row_scans,size
Register-Sized,50,780.5875632653062,43.752000
Register-Sized,100,525.4015785714288,72.920000
Register-Sized,200,351.4370985714287,131.256000
Register-Sized,400,121.03342234693876,247.928000
Classic,50,831.5807527551019,43.752000
Classic,100,567.7059017346937,72.920000
Classic,200,347.00773397959176,131.256000
Classic,400,63.97430285714283,247.928000
