name,size,rows_scanned,additional_stat_processing_time,stat_processing_time,production_time,ingestion_time,total_build_time,avg_query_time
"empty",11610984,61958308410,60.88,5609.228,1.189,45.048,43.075,0.427
"cluster",1361073128,33154347975,104.024,6748.125,98.186,31.149,140.412,0.51
