Type,parameter,row_scans,size
Bloom filter,200,351.4370985714287,0.131256000
Bloom filter,500,49.616401428571436,0.306264000
Bloom filter,1000,27.50201418367348,0.597944000
Bloom filter,2000,11.010682857142857,1.181304000
Bloom filter,5000,15.956645306122489,2.931384000
Cluster,100,627.2124224489801,0.252011520
Cluster,200,240.0397802040814,0.602027520
Cluster,500,27.31777897959182,1.185387520
Cluster,1000,5.61667,2.351948320
Cluster,2000,5.61667,4.072721904
