Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.68,52.68,52.69
2,6.88,6.88,6.88
3,37.88,37.9,37.73
4,28.2,28.18,28.19
5,36.07,36.09,36.07
6,30.11,30.1,30.11
7,41.77,41.88,41.87
8,44.6,44.37,44.29
9,52.53,52.44,52.32
10,36.98,37.01,36.99
11,6.88,6.88,6.88
12,41.36,41.29,41.28
13,5.85,5.85,5.85
14,30.6,30.6,30.6
15,30.1,30.11,30.11
16,2.95,2.95,2.95
17,38.24,38.33,38.34
18,37.62,38.06,38.11
19,46.14,46.14,46.14
20,33.53,33.54,33.54
21,78.85,78.78,78.93
22,2.95,2.94,2.95
