Query,min_max_time,cluster_time,bloom_time
1,0.141,0.141,0.147
2,0.045,0.049,0.046
3,0.089,0.092,0.091
4,0.08,0.081,0.082
5,0.087,0.087,0.087
6,0.18,0.18,0.181
7,0.184,0.2,0.187
8,0.165,0.152,0.173
9,0.321,0.332,0.328
10,0.154,0.157,0.155
11,0.028,0.029,0.028
12,0.136,0.137,0.138
13,0.202,0.215,0.211
14,0.077,0.076,0.078
15,0.067,0.074,0.068
16,0.062,0.062,0.061
17,0.202,0.201,0.203
18,0.17,0.175,0.174
19,0.142,0.141,0.144
20,0.204,0.202,0.205
21,0.302,0.304,0.31
22,0.046,0.047,0.047
