Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.68,52.67,52.67
2,6.88,6.88,6.88
3,37.9,37.93,37.9
4,28.91,29.06,28.91
5,36.29,36.34,36.23
6,30.1,30.1,30.1
7,41.58,41.58,41.56
8,43.96,43.93,44.04
9,51.9,50.94,52.28
10,36.99,36.99,37.05
11,6.88,6.88,6.88
12,41.36,41.28,41.29
13,5.85,5.85,5.85
14,30.59,29.79,30.59
15,30.1,30.1,30.1
16,2.95,2.95,2.95
17,38.33,38.34,38.4
18,38.42,38.34,38.37
19,46.14,46.13,46.14
20,33.54,33.53,33.55
21,79.9,80.07,80.07
22,2.85,2.82,2.82
