Query,min_max_time,cluster_time,bloom_time
1,0.281,0.301,0.292
2,0.226,0.268,0.24
3,0.328,0.361,0.346
4,0.153,0.162,0.161
5,0.246,0.266,0.263
6,1.691,1.904,1.761
7,1.506,1.698,1.593
8,1.113,1.27,1.176
9,0.511,0.539,0.527
10,1.328,1.579,1.506
11,0.178,0.207,0.196
12,0.632,0.719,0.693
13,0.218,0.224,0.228
14,0.332,0.38,0.369
15,0.325,0.377,0.368
16,0.175,0.198,0.189
17,2.419,2.791,2.594
18,0.187,0.195,0.194
19,2.601,3.009,2.819
20,1.114,1.282,1.197
21,1.653,1.907,1.792
22,0.127,0.142,0.133
