Query,min_max_time,cluster_time,bloom_time
1,0.155,0.156,0.155
2,0.05,0.051,0.05
3,0.103,0.104,0.104
4,0.088,0.088,0.089
5,0.098,0.099,0.1
6,0.246,0.248,0.247
7,0.25,0.244,0.241
8,0.212,0.234,0.223
9,0.343,0.347,0.346
10,0.167,0.169,0.168
11,0.032,0.033,0.033
12,0.167,0.167,0.166
13,0.218,0.222,0.221
14,0.091,0.093,0.091
15,0.082,0.082,0.082
16,0.066,0.066,0.064
17,0.275,0.273,0.274
18,0.187,0.193,0.188
19,0.187,0.194,0.192
20,0.239,0.243,0.241
21,0.354,0.361,0.363
22,0.05,0.051,0.052
