Query,min_max_time,cluster_time,bloom_time
1,0.153,0.155,0.154
2,0.048,0.049,0.048
3,0.101,0.102,0.103
4,0.087,0.087,0.088
5,0.096,0.097,0.098
6,0.244,0.245,0.245
7,0.244,0.242,0.238
8,0.21,0.231,0.221
9,0.341,0.345,0.344
10,0.165,0.167,0.166
11,0.031,0.031,0.031
12,0.164,0.164,0.164
13,0.209,0.213,0.212
14,0.074,0.075,0.074
15,0.08,0.081,0.08
16,0.065,0.064,0.063
17,0.273,0.272,0.273
18,0.093,0.098,0.158
19,0.185,0.192,0.19
20,0.237,0.241,0.239
21,0.352,0.359,0.361
22,0.049,0.049,0.05
