Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,3.76,3.77,3.76
2,1.15,1.17,1.12
3,4.87,4.86,4.87
4,0.94,0.94,0.94
5,1.31,1.3,1.31
6,4.6,4.61,4.6
7,6.89,6.82,6.9
8,5.02,4.98,5.03
9,2.19,2.19,2.19
10,4.7,4.7,4.7
11,0.98,0.98,0.98
12,6.35,6.36,6.32
13,0.93,0.93,0.93
14,3.76,3.76,3.76
15,3.76,3.76,3.76
16,0.24,0.24,0.24
17,7.65,7.44,7.65
18,0.05,0.05,0.05
19,3.76,3.76,3.76
20,6.53,6.46,6.47
21,4.72,4.65,4.71
22,0.79,0.79,0.79
