Query,min_max_time,cluster_time,bloom_time
1,0.141,0.141,0.141
2,0.046,0.045,0.048
3,0.09,0.092,0.092
4,0.08,0.079,0.082
5,0.086,0.086,0.089
6,0.181,0.182,0.183
7,0.186,0.186,0.19
8,0.15,0.169,0.166
9,0.312,0.325,0.332
10,0.151,0.155,0.157
11,0.029,0.028,0.031
12,0.137,0.138,0.14
13,0.202,0.208,0.208
14,0.077,0.076,0.078
15,0.067,0.069,0.069
16,0.06,0.061,0.063
17,0.202,0.202,0.204
18,0.169,0.175,0.175
19,0.146,0.147,0.148
20,0.203,0.204,0.205
21,0.3,0.304,0.311
22,0.046,0.046,0.048
