Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,52.68,52.7,52.68
2,6.98,6.88,6.99
3,37.89,37.86,37.89
4,28.18,28.19,28.18
5,36.08,36.08,36.05
6,30.1,30.11,30.11
7,41.88,41.89,41.83
8,44.28,44.51,44.47
9,52.44,52.46,52.45
10,36.99,36.93,37.0
11,6.88,6.88,6.88
12,41.31,41.33,41.29
13,5.85,5.85,5.81
14,30.59,30.6,30.59
15,30.1,30.11,30.1
16,2.95,2.95,2.95
17,38.16,38.32,38.17
18,38.1,38.09,37.97
19,46.13,46.15,46.14
20,33.45,33.55,33.47
21,78.81,78.75,78.92
22,2.92,2.9,2.95
