Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.03457,0.07244,0.07194,0.0349
Time,s,2,0.01509,0.03043,0.03904,0.01405
Time,s,3,0.03117,0.0554,0.05535,0.02985
Time,s,4,0.03702,0.05906,0.07067,0.0411
Time,s,5,0.21251,0.2673,0.28904,0.23418
Time,s,6,0.33401,0.39019,0.38904,0.36286
Time,s,7,0.02453,0.02559,0.02632,0.02335
Time,s,8,0.0235,0.02057,0.01982,0.02104
Time,s,9,0.28974,0.30797,0.3229,0.26497
Time,s,10,0.34687,0.40804,0.40151,0.34784
Time,s,11,0.11788,0.16021,0.23047,0.04772
Time,s,12,0.11927,0.13028,0.17057,0.04461
Time,s,13,0.28835,0.30492,0.35563,0.12662
Time,s,14,0.50008,0.51592,0.54251,0.23045
Time,s,15,0.3126,0.36543,0.31013,0.13593
Time,s,16,0.24529,0.26726,0.22202,0.21449
Time,s,17,0.65997,0.74779,0.68466,0.74645
Time,s,18,0.5197,0.50988,0.46808,0.47645
Time,s,19,1.39378,1.44828,1.32609,1.3503
Time,s,20,0.01868,0.03102,0.01654,0.03599
Time,s,21,0.43288,0.4399,0.38716,0.42835
Time,s,22,0.41061,0.3879,0.37366,0.13392
Time,s,23,0.52947,0.7545,0.65937,0.15327
Time,s,24,0.00055,0.00061,0.00101,0.00069
Time,s,25,0.00045,0.00043,0.00051,0.00048
Time,s,26,0.01992,0.02196,0.02104,0.02293
Time,s,27,0.04412,0.04941,0.05242,0.02126
Time,s,28,0.255,0.26898,0.27991,0.11904
Time,s,29,6.00754,6.20899,6.1123,2.27347
Time,s,30,0.05288,0.05342,0.04202,0.03834
Time,s,31,0.29689,0.24421,0.23818,0.11156
Time,s,32,0.35899,0.35122,0.35999,0.13247
Time,s,33,1.55016,1.64436,1.527,1.45017
Time,s,34,1.75226,1.45879,1.35353,1.39469
Time,s,35,1.50376,1.41597,1.31465,1.32376
Time,s,36,0.33744,0.29681,0.29978,0.27648
Time,s,37,0.03488,0.0448,0.03597,0.02935
Time,s,38,0.02837,0.0271,0.02254,0.02482
Time,s,39,0.0223,0.03355,0.02283,0.02176
Time,s,40,0.04164,0.04343,0.04655,0.05787
Time,s,41,0.03092,0.03373,0.02521,0.02816
Time,s,42,0.02321,0.01612,0.02123,0.02342
Time,s,43,0.02062,0.01962,0.01253,0.02082
